"","GEO","CDUID"
"1","Newfoundland and Labrador","10"
"2","Division No. 1, Newfoundland and Labrador","1001"
"3","Division No. 2, Newfoundland and Labrador","1002"
"4","Division No. 3, Newfoundland and Labrador","1003"
"5","Division No. 4, Newfoundland and Labrador","1004"
"6","Division No. 5, Newfoundland and Labrador","1005"
"7","Division No. 6, Newfoundland and Labrador","1006"
"8","Division No. 7, Newfoundland and Labrador","1007"
"9","Division No. 8, Newfoundland and Labrador","1008"
"10","Division No. 9, Newfoundland and Labrador","1009"
"11","Division No. 10, Newfoundland and Labrador","1010"
"12","Division No. 11, Newfoundland and Labrador","1011"
"13","Prince Edward Island","11"
"14","Kings, Prince Edward Island","1101"
"15","Queens, Prince Edward Island","1102"
"16","Prince, Prince Edward Island","1103"
"17","Nova Scotia","12"
"18","Shelburne, Nova Scotia","1201"
"19","Yarmouth, Nova Scotia","1202"
"20","Digby, Nova Scotia","1203"
"21","Queens, Nova Scotia","1204"
"22","Annapolis, Nova Scotia","1205"
"23","Lunenburg, Nova Scotia","1206"
"24","Kings, Nova Scotia","1207"
"25","Hants, Nova Scotia","1208"
"26","Halifax, Nova Scotia","1209"
"27","Colchester, Nova Scotia","1210"
"28","Cumberland, Nova Scotia","1211"
"29","Pictou, Nova Scotia","1212"
"30","Guysborough, Nova Scotia","1213"
"31","Antigonish, Nova Scotia","1214"
"32","Inverness, Nova Scotia","1215"
"33","Richmond, Nova Scotia","1216"
"34","Cape Breton, Nova Scotia","1217"
"35","Victoria, Nova Scotia","1218"
"36","New Brunswick","13"
"37","Saint John, New Brunswick","1301"
"38","Charlotte, New Brunswick","1302"
"39","Sunbury, New Brunswick","1303"
"40","Queens, New Brunswick","1304"
"41","Kings, New Brunswick","1305"
"42","Albert, New Brunswick","1306"
"43","Westmorland, New Brunswick","1307"
"44","Kent, New Brunswick","1308"
"45","Northumberland, New Brunswick","1309"
"46","York, New Brunswick","1310"
"47","Carleton, New Brunswick","1311"
"48","Victoria, New Brunswick","1312"
"49","Madawaska, New Brunswick","1313"
"50","Restigouche, New Brunswick","1314"
"51","Gloucester, New Brunswick","1315"
"52","Quebec","24"
"53","Les Îles-de-la-Madeleine, Quebec","2401"
"54","Le Rocher-Percé, Quebec","2402"
"55","La CÃ´te-de-Gaspé, Quebec","2403"
"56","La Haute-Gaspésie, Quebec","2404"
"57","Bonaventure, Quebec","2405"
"58","Avignon, Quebec","2406"
"59","La Matapédia, Quebec","2407"
"60","Matane, Quebec","2408"
"61","La Mitis, Quebec","2409"
"62","Rimouski-Neigette, Quebec","2410"
"63","Les Basques, Quebec","2411"
"64","Rivière-du-Loup, Quebec","2412"
"65","Témiscouata, Quebec","2413"
"66","Kamouraska, Quebec","2414"
"67","Charlevoix-Est, Quebec","2415"
"68","Charlevoix, Quebec","2416"
"69","L'Islet, Quebec","2417"
"70","Montmagny, Quebec","2418"
"71","Bellechasse, Quebec","2419"
"72","L'Île-d'Orléans, Quebec","2420"
"73","La CÃ´te-de-Beaupré, Quebec","2421"
"74","La Jacques-Cartier, Quebec","2422"
"75","Québec, Quebec","2423"
"76","Lévis, Quebec","2425"
"77","La Nouvelle-Beauce, Quebec","2426"
"78","Robert-Cliche, Quebec","2427"
"79","Les Etchemins, Quebec","2428"
"80","Beauce-Sartigan, Quebec","2429"
"81","Le Granit, Quebec","2430"
"82","Les Appalaches, Quebec","2431"
"83","L'Ã‰rable, Quebec","2432"
"84","Lotbinière, Quebec","2433"
"85","Portneuf, Quebec","2434"
"86","Mékinac, Quebec","2435"
"87","Shawinigan, Quebec","2436"
"88","Francheville, Quebec","2437"
"89","Bécancour, Quebec","2438"
"90","Arthabaska, Quebec","2439"
"91","Les Sources, Quebec","2440"
"92","Le Haut-Saint-FranÃ§ois, Quebec","2441"
"93","Le Val-Saint-FranÃ§ois, Quebec","2442"
"94","Sherbrooke, Quebec","2443"
"95","Coaticook, Quebec","2444"
"96","Memphrémagog, Quebec","2445"
"97","Brome-Missisquoi, Quebec","2446"
"98","La Haute-Yamaska, Quebec","2447"
"99","Acton, Quebec","2448"
"100","Drummond, Quebec","2449"
"101","Nicolet-Yamaska, Quebec","2450"
"102","Maskinongé, Quebec","2451"
"103","D'Autray, Quebec","2452"
"104","Pierre-De Saurel, Quebec","2453"
"105","Les Maskoutains, Quebec","2454"
"106","Rouville, Quebec","2455"
"107","Le Haut-Richelieu, Quebec","2456"
"108","La Vallée-du-Richelieu, Quebec","2457"
"109","Longueuil, Quebec","2458"
"110","Marguerite-D'Youville, Quebec","2459"
"111","L'Assomption, Quebec","2460"
"112","Joliette, Quebec","2461"
"113","Matawinie, Quebec","2462"
"114","Montcalm, Quebec","2463"
"115","Les Moulins, Quebec","2464"
"116","Laval, Quebec","2465"
"117","Montréal, Quebec","2466"
"118","Roussillon, Quebec","2467"
"119","Les Jardins-de-Napierville, Quebec","2468"
"120","Le Haut-Saint-Laurent, Quebec","2469"
"121","Beauharnois-Salaberry, Quebec","2470"
"122","Vaudreuil-Soulanges, Quebec","2471"
"123","Deux-Montagnes, Quebec","2472"
"124","Thérèse-De Blainville, Quebec","2473"
"125","Mirabel, Quebec","2474"
"126","La Rivière-du-Nord, Quebec","2475"
"127","Argenteuil, Quebec","2476"
"128","Les Pays-d'en-Haut, Quebec","2477"
"129","Les Laurentides, Quebec","2478"
"130","Antoine-Labelle, Quebec","2479"
"131","Papineau, Quebec","2480"
"132","Gatineau, Quebec","2481"
"133","Les Collines-de-l'Outaouais, Quebec","2482"
"134","La Vallée-de-la-Gatineau, Quebec","2483"
"135","Pontiac, Quebec","2484"
"136","Témiscamingue, Quebec","2485"
"137","Rouyn-Noranda, Quebec","2486"
"138","Abitibi-Ouest, Quebec","2487"
"139","Abitibi, Quebec","2488"
"140","La Vallée-de-l'Or, Quebec","2489"
"141","La Tuque, Quebec","2490"
"142","Le Domaine-du-Roy, Quebec","2491"
"143","Maria-Chapdelaine, Quebec","2492"
"144","Lac-Saint-Jean-Est, Quebec","2493"
"145","Le Saguenay-et-son-Fjord, Quebec","2494"
"146","La Haute-CÃ´te-Nord, Quebec","2495"
"147","Manicouagan, Quebec","2496"
"148","Sept-Rivières-Caniapiscau, Quebec","2497"
"149","Minganie-Le Golfe-du-Saint-Laurent, Quebec","2498"
"150","Nord-du-Québec, Quebec","2499"
"151","Ontario","35"
"152","Stormont, Dundas and Glengarry, Ontario","3501"
"153","Prescott and Russell, Ontario","3502"
"154","Ottawa, Ontario","3506"
"155","Leeds and Grenville, Ontario","3507"
"156","Lanark, Ontario","3509"
"157","Frontenac, Ontario","3510"
"158","Lennox and Addington, Ontario","3511"
"159","Hastings, Ontario","3512"
"160","Prince Edward, Ontario","3513"
"161","Northumberland, Ontario","3514"
"162","Peterborough, Ontario","3515"
"163","Kawartha Lakes, Ontario","3516"
"164","Durham, Ontario","3518"
"165","York, Ontario","3519"
"166","Toronto, Ontario","3520"
"167","Peel, Ontario","3521"
"168","Dufferin, Ontario","3522"
"169","Wellington, Ontario","3523"
"170","Halton, Ontario","3524"
"171","Hamilton, Ontario","3525"
"172","Niagara, Ontario","3526"
"173","Haldimand-Norfolk, Ontario","3528"
"174","Brant, Ontario","3529"
"175","Waterloo, Ontario","3530"
"176","Perth, Ontario","3531"
"177","Oxford, Ontario","3532"
"178","Elgin, Ontario","3534"
"179","Chatham-Kent, Ontario","3536"
"180","Essex, Ontario","3537"
"181","Lambton, Ontario","3538"
"182","Middlesex, Ontario","3539"
"183","Huron, Ontario","3540"
"184","Bruce, Ontario","3541"
"185","Grey, Ontario","3542"
"186","Simcoe, Ontario","3543"
"187","Muskoka, Ontario","3544"
"188","Haliburton, Ontario","3546"
"189","Renfrew, Ontario","3547"
"190","Nipissing, Ontario","3548"
"191","Parry Sound, Ontario","3549"
"192","Manitoulin, Ontario","3551"
"193","Sudbury, Ontario","3552"
"194","Greater Sudbury, Ontario","3553"
"195","Timiskaming, Ontario","3554"
"196","Cochrane, Ontario","3556"
"197","Algoma, Ontario","3557"
"198","Thunder Bay, Ontario","3558"
"199","Rainy River, Ontario","3559"
"200","Kenora, Ontario","3560"
"201","Manitoba","46"
"202","Division No. 1, Manitoba","4601"
"203","Division No. 2, Manitoba","4602"
"204","Division No. 3, Manitoba","4603"
"205","Division No. 4, Manitoba","4604"
"206","Division No. 5, Manitoba","4605"
"207","Division No. 6, Manitoba","4606"
"208","Division No. 7, Manitoba","4607"
"209","Division No. 8, Manitoba","4608"
"210","Division No. 9, Manitoba","4609"
"211","Division No. 10, Manitoba","4610"
"212","Division No. 11, Manitoba","4611"
"213","Division No. 12, Manitoba","4612"
"214","Division No. 13, Manitoba","4613"
"215","Division No. 14, Manitoba","4614"
"216","Division No. 15, Manitoba","4615"
"217","Division No. 16, Manitoba","4616"
"218","Division No. 17, Manitoba","4617"
"219","Division No. 18, Manitoba","4618"
"220","Division No. 19, Manitoba","4619"
"221","Division No. 20, Manitoba","4620"
"222","Division No. 21, Manitoba","4621"
"223","Division No. 22, Manitoba","4622"
"224","Division No. 23, Manitoba","4623"
"225","Saskatchewan","47"
"226","Division No. 1, Saskatchewan","4701"
"227","Division No. 2, Saskatchewan","4702"
"228","Division No. 3, Saskatchewan","4703"
"229","Division No. 4, Saskatchewan","4704"
"230","Division No. 5, Saskatchewan","4705"
"231","Division No. 6, Saskatchewan","4706"
"232","Division No. 7, Saskatchewan","4707"
"233","Division No. 8, Saskatchewan","4708"
"234","Division No. 9, Saskatchewan","4709"
"235","Division No. 10, Saskatchewan","4710"
"236","Division No. 11, Saskatchewan","4711"
"237","Division No. 12, Saskatchewan","4712"
"238","Division No. 13, Saskatchewan","4713"
"239","Division No. 14, Saskatchewan","4714"
"240","Division No. 15, Saskatchewan","4715"
"241","Division No. 16, Saskatchewan","4716"
"242","Division No. 17, Saskatchewan","4717"
"243","Division No. 18, Saskatchewan","4718"
"244","Alberta","48"
"245","Division No. 1, Alberta","4801"
"246","Division No. 2, Alberta","4802"
"247","Division No. 3, Alberta","4803"
"248","Division No. 4, Alberta","4804"
"249","Division No. 5, Alberta","4805"
"250","Division No. 6, Alberta","4806"
"251","Division No. 7, Alberta","4807"
"252","Division No. 8, Alberta","4808"
"253","Division No. 9, Alberta","4809"
"254","Division No. 10, Alberta","4810"
"255","Division No. 11, Alberta","4811"
"256","Division No. 12, Alberta","4812"
"257","Division No. 13, Alberta","4813"
"258","Division No. 14, Alberta","4814"
"259","Division No. 15, Alberta","4815"
"260","Division No. 16, Alberta","4816"
"261","Division No. 17, Alberta","4817"
"262","Division No. 18, Alberta","4818"
"263","Division No. 19, Alberta","4819"
"264","British Columbia","59"
"265","East Kootenay, British Columbia","5901"
"266","Central Kootenay, British Columbia","5903"
"267","Kootenay Boundary, British Columbia","5905"
"268","Okanagan-Similkameen, British Columbia","5907"
"269","Fraser Valley, British Columbia","5909"
"270","Greater Vancouver, British Columbia","5915"
"271","Capital, British Columbia","5917"
"272","Cowichan Valley, British Columbia","5919"
"273","Nanaimo, British Columbia","5921"
"274","Alberni-Clayoquot, British Columbia","5923"
"275","Strathcona, British Columbia","5924"
"276","Comox Valley, British Columbia","5926"
"277","Powell River, British Columbia","5927"
"278","Sunshine Coast, British Columbia","5929"
"279","Squamish-Lillooet, British Columbia","5931"
"280","Thompson-Nicola, British Columbia","5933"
"281","Central Okanagan, British Columbia","5935"
"282","North Okanagan, British Columbia","5937"
"283","Columbia-Shuswap, British Columbia","5939"
"284","Cariboo, British Columbia","5941"
"285","Mount Waddington, British Columbia","5943"
"286","Central Coast, British Columbia","5945"
"287","Skeena-Queen Charlotte, British Columbia","5947"
"288","Kitimat-Stikine, British Columbia","5949"
"289","Bulkley-Nechako, British Columbia","5951"
"290","Fraser-Fort George, British Columbia","5953"
"291","Peace River, British Columbia","5955"
"292","Stikine, British Columbia","5957"
"293","Northern Rockies, British Columbia","5959"
"294","Yukon","60"
"295","Yukon, Yukon","6001"
"296","Northwest Territories","61"
"297","Region 1, Northwest Territories","6101"
"298","Region 2, Northwest Territories","6102"
"299","Region 3, Northwest Territories","6103"
"300","Region 4, Northwest Territories","6104"
"301","Region 5, Northwest Territories","6105"
"302","Region 6, Northwest Territories","6106"
"303","Nunavut","62"
"304","Baffin, Nunavut","6204"
"305","Keewatin, Nunavut","6205"
"306","Kitikmeot, Nunavut","6208"
